id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
608356,32,2024-01-01 21:20:02,OPMC_AHU_L6,3017140.0,228,228,230,50.01,1.0,2024-01-01 21:20:04.000,2024-01-01 21:20:04.000,2024-01-01 21:20:04.000,28419.0,28672.0,3048968,-107.0,107
608394,32,2024-01-01 21:30:02,OPMC_AHU_L6,3017140.0,228,228,230,49.98,1.0,2024-01-01 21:30:11.000,2024-01-01 21:30:11.000,2024-01-01 21:30:11.000,28419.0,28672.0,3048968,-93.0,107
608426,32,2024-01-01 21:40:02,OPMC_AHU_L6,3017140.0,228,228,231,50.03,1.0,2024-01-01 21:40:26.000,2024-01-01 21:40:26.000,2024-01-01 21:40:26.000,28419.0,28672.0,3048968,-93.0,107
608447,32,2024-01-01 21:50:02,OPMC_AHU_L6,3017140.0,229,229,231,50.04,1.0,2024-01-01 21:50:19.000,2024-01-01 21:50:19.000,2024-01-01 21:50:19.000,28419.0,28672.0,3048968,-90.0,107
608515,32,2024-01-01 22:20:03,OPMC_AHU_L6,3017140.0,229,230,232,50.0,1.0,2024-01-01 22:20:07.000,2024-01-01 22:20:07.000,2024-01-01 22:20:07.000,28419.0,28672.0,3048968,-90.0,107
608584,32,2024-01-01 22:40:03,OPMC_AHU_L6,3017140.0,230,230,232,50.0,1.0,2024-01-01 22:40:26.000,2024-01-01 22:40:26.000,2024-01-01 22:40:26.000,28419.0,28672.0,3048968,-88.0,107
608610,32,2024-01-01 22:50:03,OPMC_AHU_L6,3017140.0,230,230,232,50.06,1.0,2024-01-01 22:50:29.000,2024-01-01 22:50:29.000,2024-01-01 22:50:29.000,28419.0,28672.0,3048968,-91.0,107
608632,32,2024-01-01 23:00:03,OPMC_AHU_L6,3017140.0,230,230,233,50.04,1.0,2024-01-01 23:00:21.000,2024-01-01 23:00:21.000,2024-01-01 23:00:21.000,28419.0,28672.0,3048968,-88.0,107
608676,32,2024-01-01 23:20:03,OPMC_AHU_L6,3017140.0,228,228,230,50.01,1.0,2024-01-01 23:20:18.000,2024-01-01 23:20:18.000,2024-01-01 23:20:18.000,28419.0,28672.0,3048968,-89.0,107
608732,32,2024-01-01 23:40:03,OPMC_AHU_L6,3017140.0,228,229,231,50.04,1.0,2024-01-01 23:40:28.000,2024-01-01 23:40:28.000,2024-01-01 23:40:28.000,28419.0,28672.0,3048968,-96.0,107
608781,32,2024-01-02 00:00:03,OPMC_AHU_L6,3017140.0,228,229,231,50.04,1.0,2024-01-02 00:00:21.000,2024-01-02 00:00:21.000,2024-01-02 00:00:21.000,28419.0,28672.0,3048968,-90.0,107
608796,32,2024-01-02 00:10:03,OPMC_AHU_L6,3017140.0,229,229,231,50.04,1.0,2024-01-02 00:10:09.000,2024-01-02 00:10:09.000,2024-01-02 00:10:09.000,28419.0,28672.0,3048968,-90.0,107
608829,32,2024-01-02 00:20:03,OPMC_AHU_L6,3017140.0,229,229,231,50.05,1.0,2024-01-02 00:20:23.000,2024-01-02 00:20:23.000,2024-01-02 00:20:23.000,28419.0,28672.0,3048968,-101.0,107
608898,32,2024-01-02 00:50:03,OPMC_AHU_L6,3017140.0,229,229,231,50.02,1.0,2024-01-02 00:50:20.000,2024-01-02 00:50:20.000,2024-01-02 00:50:20.000,28419.0,28672.0,3048968,-95.0,107
608950,32,2024-01-02 01:10:03,OPMC_AHU_L6,3017140.0,229,229,231,49.98,1.0,2024-01-02 01:10:28.000,2024-01-02 01:10:28.000,2024-01-02 01:10:28.000,28419.0,28672.0,3048968,-91.0,107
608977,32,2024-01-02 01:20:03,OPMC_AHU_L6,3017140.0,229,229,231,50.03,1.0,2024-01-02 01:20:29.000,2024-01-02 01:20:29.000,2024-01-02 01:20:29.000,28419.0,28672.0,3048968,-90.0,107
609004,32,2024-01-02 01:30:03,OPMC_AHU_L6,3017140.0,229,229,232,50.02,1.0,2024-01-02 01:30:29.000,2024-01-02 01:30:29.000,2024-01-02 01:30:29.000,28419.0,28672.0,3048968,-95.0,107
609022,32,2024-01-02 01:40:03,OPMC_AHU_L6,3017140.0,229,229,232,50.05,1.0,2024-01-02 01:40:14.000,2024-01-02 01:40:14.000,2024-01-02 01:40:14.000,28419.0,28672.0,3048968,-91.0,107
609074,32,2024-01-02 02:00:03,OPMC_AHU_L6,3017140.0,229,230,232,50.05,1.0,2024-01-02 02:00:32.000,2024-01-02 02:00:32.000,2024-01-02 02:00:32.000,28419.0,28672.0,3048968,-91.0,107
609143,32,2024-01-02 02:30:03,OPMC_AHU_L6,3017140.0,230,230,232,50.02,1.0,2024-01-02 02:30:11.000,2024-01-02 02:30:11.000,2024-01-02 02:30:11.000,28419.0,28672.0,3048968,-85.0,107
609174,32,2024-01-02 02:40:03,OPMC_AHU_L6,3017140.0,230,230,232,50.02,1.0,2024-01-02 02:40:25.000,2024-01-02 02:40:25.000,2024-01-02 02:40:25.000,28419.0,28672.0,3048968,-89.0,107
609216,32,2024-01-02 03:00:03,OPMC_AHU_L6,3017140.0,230,230,232,49.97,1.0,2024-01-02 03:00:20.000,2024-01-02 03:00:20.000,2024-01-02 03:00:20.000,28419.0,28672.0,3048968,-90.0,107
609245,32,2024-01-02 03:10:03,OPMC_AHU_L6,3017140.0,230,230,232,49.97,1.0,2024-01-02 03:10:26.000,2024-01-02 03:10:26.000,2024-01-02 03:10:26.000,28419.0,28672.0,3048968,-89.0,107
609273,32,2024-01-02 03:20:03,OPMC_AHU_L6,3017140.0,230,230,232,49.97,1.0,2024-01-02 03:20:27.000,2024-01-02 03:20:27.000,2024-01-02 03:20:27.000,28419.0,28672.0,3048968,-89.0,107
609318,32,2024-01-02 03:40:03,OPMC_AHU_L6,3017140.0,230,230,232,49.99,1.0,2024-01-02 03:40:21.000,2024-01-02 03:40:21.000,2024-01-02 03:40:21.000,28419.0,28672.0,3048968,-88.0,107
609347,32,2024-01-02 03:50:03,OPMC_AHU_L6,3017140.0,230,230,232,50.02,1.0,2024-01-02 03:50:30.000,2024-01-02 03:50:30.000,2024-01-02 03:50:30.000,28419.0,28672.0,3048968,-89.0,107
609357,32,2024-01-02 04:00:03,OPMC_AHU_L6,3017140.0,230,230,232,50.0,1.0,2024-01-02 04:00:07.000,2024-01-02 04:00:07.000,2024-01-02 04:00:07.000,28419.0,28672.0,3048968,-100.0,107
609379,32,2024-01-02 04:10:03,OPMC_AHU_L6,3017140.0,230,230,232,50.0,1.0,2024-01-02 04:10:11.000,2024-01-02 04:10:11.000,2024-01-02 04:10:11.000,28419.0,28672.0,3048968,-91.0,107
609412,32,2024-01-02 04:20:03,OPMC_AHU_L6,3017140.0,230,230,232,49.98,1.0,2024-01-02 04:20:17.000,2024-01-02 04:20:17.000,2024-01-02 04:20:17.000,28419.0,28672.0,3048968,-89.0,107
609504,32,2024-01-02 05:00:03,OPMC_AHU_L6,3017140.0,229,229,231,50.0,1.0,2024-01-02 05:00:16.000,2024-01-02 05:00:16.000,2024-01-02 05:00:16.000,28419.0,28672.0,3048968,-88.0,107
609529,32,2024-01-02 05:10:03,OPMC_AHU_L6,3017140.0,228,229,231,49.95,1.0,2024-01-02 05:10:24.000,2024-01-02 05:10:24.000,2024-01-02 05:10:24.000,28419.0,28672.0,3048968,-89.0,107
609540,32,2024-01-02 05:20:03,OPMC_AHU_L6,3017140.0,228,228,230,49.99,1.0,2024-01-02 05:20:07.000,2024-01-02 05:20:07.000,2024-01-02 05:20:07.000,28419.0,28672.0,3048968,-91.0,107
609595,32,2024-01-02 05:40:03,OPMC_AHU_L6,3017140.0,228,228,230,50.04,1.0,2024-01-02 05:40:22.000,2024-01-02 05:40:22.000,2024-01-02 05:40:22.000,28419.0,28672.0,3048968,-90.0,107
